# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 2.551231998950242996e-03 1.557240366935729980e+00 4.606459617614746094e+00 2.374178729951381683e-03 1.557240366935729980e+00 4.606459617614746094e+00 1.001555085182189941e+00
5.000000000000000000e+02 1.781767792999744415e-02 6.509571336209774017e-03 1.268522755708545446e-04 2.348153293132781982e-02 6.509571336209774017e-03 1.268519990844652057e-04 8.969115614891052246e-01
1.000000000000000000e+03 6.953558884561061859e-03 6.947983056306838989e-04 1.050905939337098971e-05 1.457397546619176865e-02 6.947983056306838989e-04 1.050900937116239220e-05 8.640862107276916504e-01
1.500000000000000000e+03 4.732248838990926743e-03 7.117151981219649315e-04 1.028808401315473020e-05 4.254185594618320465e-03 7.117151981219649315e-04 1.028809037961764261e-05 8.643779158592224121e-01
2.000000000000000000e+03 2.099521458148956299e-03 2.261598565382882953e-04 2.317479811608791351e-06 4.293967038393020630e-03 2.261598565382882953e-04 2.317538019269704819e-06 8.582133650779724121e-01
2.500000000000000000e+03 1.853947993367910385e-03 2.129602798959240317e-04 1.920042905112495646e-06 3.844593418762087822e-03 2.129602798959240317e-04 1.919946271300432272e-06 8.578803539276123047e-01
3.000000000000000000e+03 1.600815565325319767e-03 1.371429243590682745e-04 1.139115397563728038e-06 3.459552070125937462e-03 1.371429243590682745e-04 1.139098685598582961e-06 8.538340926170349121e-01
3.500000000000000000e+03 2.038782695308327675e-03 2.241109614260494709e-04 7.275111784110777080e-06 3.077588742598891258e-03 2.241109614260494709e-04 7.274974905158160254e-06 8.564507365226745605e-01
4.000000000000000000e+03 1.328951562754809856e-03 9.903032332658767700e-05 2.310626314283581451e-06 2.951576840132474899e-03 9.903032332658767700e-05 2.310498302904306911e-06 8.512012362480163574e-01
4.500000000000000000e+03 1.287937513552606106e-03 1.201381455757655203e-04 2.466505293341469951e-06 2.916513010859489441e-03 1.201381455757655203e-04 2.466508931320277043e-06 8.506253957748413086e-01
5.000000000000000000e+03 1.123639871366322041e-03 6.681999366264790297e-05 1.520353976047772449e-06 2.707515144720673561e-03 6.681999366264790297e-05 1.520252908449037932e-06 8.477270603179931641e-01
5.500000000000000000e+03 9.388845646753907204e-04 4.743422687170095742e-05 9.095793984670308419e-07 2.384092891588807106e-03 4.743422687170095742e-05 9.095924724533688277e-07 8.463031649589538574e-01
6.000000000000000000e+03 9.016285766847431660e-04 4.528114732238464057e-05 7.587156869703903794e-05 2.239790977910161018e-03 4.528114732238464057e-05 7.587088475702330470e-05 8.397821784019470215e-01
6.500000000000000000e+03 1.174879143945872784e-03 1.268062042072415352e-04 2.728111894612084143e-06 2.499199472367763519e-03 1.268062042072415352e-04 2.728213530645007268e-06 8.402544856071472168e-01
7.000000000000000000e+03 8.103323634713888168e-04 5.541669816011562943e-05 1.563786327096750028e-06 2.317359903827309608e-03 5.541669816011562943e-05 1.563726982567459345e-06 8.354247212409973145e-01
7.500000000000000000e+03 7.126872078515589237e-04 3.871024455293081701e-05 1.617083171367994510e-06 2.379659563302993774e-03 3.871024455293081701e-05 1.617213797544536646e-06 8.313384652137756348e-01
8.000000000000000000e+03 5.781834479421377182e-04 2.172424865420907736e-05 9.765130926098208874e-07 2.213525818660855293e-03 2.172424865420907736e-05 9.764886499397107400e-07 8.268428444862365723e-01
8.500000000000000000e+03 5.889777094125747681e-04 3.947848017560318112e-05 3.016809387190733105e-06 2.297509927302598953e-03 3.947848017560318112e-05 3.016904884134419262e-06 8.188546895980834961e-01
9.000000000000000000e+03 4.897192702628672123e-04 2.027415939664933830e-05 5.666178140018018894e-07 2.121073892340064049e-03 2.027415939664933830e-05 5.665965545631479472e-07 8.175472021102905273e-01
9.500000000000000000e+03 4.575862549245357513e-04 2.357904122618492693e-05 4.026479700769414194e-07 2.173596760258078575e-03 2.357904122618492693e-05 4.026739475193608087e-07 8.124046921730041504e-01
1.000000000000000000e+04 3.711727913469076157e-04 1.196429548144806176e-05 2.466103694587218342e-07 1.965102506801486015e-03 1.196429548144806176e-05 2.466396153977257200e-07 8.093408942222595215e-01
