stage,step_name,description,checkpoint,avg_u_val,std_u_val,avg_v_val,std_v_val,avg_u_roll,std_u_roll,avg_v_roll,std_v_roll
0,step_0_pretrain_trunk_branch,Trunk/branch SVD,step_0_deeponet_merged.pth,0.46611382185191025,0.10509528754189015,102.09660605634721,87.60127924631328,0.5839143176223494,0.17107947629146172,47.9297698797458,52.06964095930497
1,step_1_joint_supervised,Joint supervised DeepONet,step_1_deeponet_merged.pth,0.43012338541452816,0.18289320199549766,204.22156349327327,177.85933987788783,0.5325583164164497,0.20643422735072448,91.2651993882667,97.3481187061232
2,step_2_branch_noise,Supervised + branch noise,step_2_deeponet_merged.pth,1.0662192786714595,0.32205485627272523,419.63814508674085,375.6170671107351,0.7525801159302848,0.19420219910022138,187.38214998775138,206.00132273951678
3,step_3_rollout_h2_r1,"R1, (w_PDE; H)=(0.02, 2)",step_3_deeponet_merged.pth,1.1032506352692262,0.6158101519198846,673.22385303546,655.0676544883796,0.7268732444621137,0.34292563763198697,137.24967932088606,152.86049328294828
4,step_4_rollout_h3_r1_r2,"R1 + R2, (w_PDE; H)=(0.05, 3)",step_4_deeponet_merged.pth,1.8475636152144288,1.4051593055071387,1838.9293369266602,1587.980388609965,0.9042732282899121,0.3048055606171888,247.44858591080745,245.48077467599992
5,step_5_rollout_h5_r1_r2,"R1 + R2, (w_PDE; H)=(0.10, 5)",step_5_deeponet_merged.pth,1.6116099815361289,1.0982581475340512,1373.8028435806834,1338.097222304794,0.6711517849680927,0.2562765867754685,545.6541732953349,565.8513671576127
6,step_6_rollout_h5_r1_r2,"R1 + R2, (w_PDE; H)=(0.20, 5)",step_6_deeponet_merged.pth,1.188559977095964,0.9165289728152023,1269.7439508956938,1312.164534600343,0.6600923494806863,0.43457766048483176,421.3441045984435,697.6702100066931
